leg_case,leg_stat,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ADM,CRT_PEN,NR,XK	5304 	5192 	5380 	4039 	2560 	1616 	1384 	1028 	792 	1087 
ADM,CRT_PEN,P_HTHAB,AL	104.92 	132.47 	124.92 	132.63 	: 	: 	: 	: 	: 	: 
ADM,CRT_PEN,P_HTHAB,BA	: 	: 	: 	: 	: 	302.51 	301.81 	28.80 	233.66 	198.37 
ADM,CRT_PEN,P_HTHAB,BG	132.50 	107.83 	121.30 	116.54 	118.37 	148.57 	116.44 	: 	: 	: 
ADM,CRT_PEN,P_HTHAB,CH	: 	: 	: 	: 	: 	190.96 	214.88 	170.40 	184.24 	60.37 
ADM,CRT_PEN,P_HTHAB,CZ	100.86 	95.71 	86.81 	86.20 	81.79 	85.33 	84.02 	: 	: 	: 
ADM,CRT_PEN,P_HTHAB,DE	409.68 	230.21 	150.91 	155.01 	137.79 	131.67 	132.63 	135.78 	136.10 	140.88 
ADM,CRT_PEN,P_HTHAB,EE	: 	: 	: 	: 	: 	77.42 	55.05 	99.68 	: 	: 
ADM,CRT_PEN,P_HTHAB,EL	1866.40 	2196.65 	2426.56 	2826.65 	3137.14 	: 	: 	: 	: 	: 
ADM,CRT_PEN,P_HTHAB,ES	326.73 	338.96 	379.81 	438.45 	484.24 	608.75 	718.95 	703.32 	718.99 	686.34 
ADM,CRT_PEN,P_HTHAB,FI	295.30 	325.95 	255.17 	256.12 	218.73 	212.67 	218.78 	234.26 	230.55 	211.89 
ADM,CRT_PEN,P_HTHAB,FR	: 	: 	251.74 	247.89 	238.15 	251.61 	270.95 	: 	: 	: 
ADM,CRT_PEN,P_HTHAB,HR	254.34 	326.75 	355.57 	329.14 	281.62 	165.46 	759.19 	820.46 	845.72 	855.09 
ADM,CRT_PEN,P_HTHAB,HU	55.80 	59.27 	58.61 	68.18 	53.69 	55.17 	64.92 	75.73 	69.30 	62.02 
ADM,CRT_PEN,P_HTHAB,IT	304.36 	349.61 	397.83 	439.68 	499.66 	540.17 	743.70 	852.14 	1066.93 	1144.51 
ADM,CRT_PEN,P_HTHAB,LT	91.44 	142.84 	367.96 	363.55 	309.16 	99.35 	92.71 	88.38 	47.33 	49.55 
ADM,CRT_PEN,P_HTHAB,LV	72.92 	71.92 	69.28 	77.19 	126.99 	212.68 	265.45 	256.97 	247.36 	194.59 
ADM,CRT_PEN,P_HTHAB,ME	1725.61 	436.99 	346.73 	291.22 	237.24 	274.22 	203.92 	197.09 	207.73 	263.18 
ADM,CRT_PEN,P_HTHAB,MT	81.25 	95.07 	97.36 	160.56 	178.71 	: 	: 	: 	: 	: 
ADM,CRT_PEN,P_HTHAB,PL	67.75 	81.30 	87.27 	81.52 	73.75 	58.14 	57.37 	55.93 	46.04 	: 
ADM,CRT_PEN,P_HTHAB,PT	692.02 	702.15 	728.45 	: 	: 	: 	: 	: 	: 	: 
ADM,CRT_PEN,P_HTHAB,RO	337.43 	351.15 	297.22 	422.06 	551.13 	701.17 	428.92 	243.95 	133.47 	90.27 
ADM,CRT_PEN,P_HTHAB,RS	436.77 	398.17 	363.99 	339.48 	347.95 	: 	: 	: 	: 	: 
ADM,CRT_PEN,P_HTHAB,SE	592.92 	438.83 	346.35 	404.26 	445.19 	447.65 	535.17 	626.59 	501.29 	443.56 
ADM,CRT_PEN,P_HTHAB,SI	: 	96.89 	78.39 	80.98 	88.30 	93.55 	117.84 	112.36 	150.42 	213.16 
ADM,CRT_PEN,P_HTHAB,SK	1.62 	2.23 	2.36 	2.27 	1.96 	1.85 	2.15 	2.62 	3.03 	3.48 
ADM,CRT_PEN,P_HTHAB,TR	: 	266.59 	216.56 	193.10 	217.37 	170.81 	229.63 	273.35 	224.34 	: 
ADM,CRT_PEN,P_HTHAB,UKC-L	: 	775.12 	687.45 	641.17 	1520.29 	1483.90 	1335.12 	1311.28 	1140.44 	846.88 
ADM,CRT_PEN,P_HTHAB,XK	297.39 	293.07 	: 	: 	: 	: 	77.14 	46.56 	36.32 	50.48 
ADM,CRT_RESL,NR,AL	8934 	18400 	17927 	18852 	2891 	: 	: 	: 	: 	: 
ADM,CRT_RESL,NR,BA	7752 	8578 	9486 	12108 	11427 	11596 	11545 	8896 	7856 	3849 
ADM,CRT_RESL,NR,BG	29666 	26117 	26196 	24955 	28727 	26462 	28172 	: 	: 	: 
ADM,CRT_RESL,NR,CH	: 	: 	: 	: 	: 	25509 	: 	21132 	: 	15339 
ADM,CRT_RESL,NR,CZ	10113 	9637 	8427 	8251 	8788 	8756 	6242 	: 	: 	: 
ADM,CRT_RESL,NR,DE	203426 	164160 	147293 	128703 	146278 	133421 	124204 	124397 	127403 	136962 
ADM,CRT_RESL,NR,EE	2967 	3123 	3523 	3422 	2687 	3013 	3163 	3243 	2723 	2437 
ADM,CRT_RESL,NR,EL	99772 	80529 	99763 	101467 	97219 	: 	: 	: 	: 	: 
ADM,CRT_RESL,NR,ES	172520 	184041 	200375 	205548 	226973 	243718 	244592 	252340 	243565 	230786 
ADM,CRT_RESL,NR,FI	22703 	23748 	19849 	19849 	20187 	20586 	21850 	22855 	21495 	22371 
ADM,CRT_RESL,NR,FR	: 	: 	198336 	200547 	192867 	199511 	176057 	: 	: 	: 
ADM,CRT_RESL,NR,HR	14943 	15672 	13290 	11969 	8885 	4936 	16255 	15616 	15183 	14847 
ADM,CRT_RESL,NR,HU	17268 	19539 	19107 	16594 	16888 	13599 	13980 	13727 	12775 	12834 
ADM,CRT_RESL,NR,IT	75856 	83736 	87594 	99169 	107106 	145951 	123925 	181827 	96868 	87366 
ADM,CRT_RESL,NR,LT	13221 	21540 	16875 	12763 	11728 	7914 	5911 	6411 	4434 	6574 
ADM,CRT_RESL,NR,LU	1144 	1156 	1146 	1283 	: 	: 	: 	: 	: 	: 
ADM,CRT_RESL,NR,LV	2098 	2283 	2541 	3440 	4640 	5224 	4653 	4546 	3734 	3938 
ADM,CRT_RESL,NR,ME	4709 	4130 	3250 	3266 	3357 	2963 	3632 	3795 	2623 	1898 
ADM,CRT_RESL,NR,MT	119 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ADM,CRT_RESL,NR,NL	: 	: 	79219 	80555 	77617 	74319 	77116 	73989 	70519 	72813 
ADM,CRT_RESL,NR,PL	77567 	78992 	81353 	81240 	75697 	71865 	65699 	64121 	59500 	58730 
ADM,CRT_RESL,NR,PT	26349 	29656 	27712 	: 	: 	: 	: 	: 	: 	: 
ADM,CRT_RESL,NR,RO	149300 	107523 	128619 	167898 	215669 	193115 	120718 	71110 	65177 	52119 
ADM,CRT_RESL,NR,RS	19180 	19274 	18681 	20149 	18277 	: 	: 	: 	: 	: 
ADM,CRT_RESL,NR,SE	146887 	134461 	132953 	136806 	132323 	137453 	136957 	118997 	119884 	127307 
ADM,CRT_RESL,NR,SI	: 	2589 	3004 	3439 	3386 	3667 	3519 	4096 	4835 	4931 
ADM,CRT_RESL,NR,SK	111 	178 	177 	337 	198 	259 	299 	401 	261 	266 
ADM,CRT_RESL,NR,TR	: 	576725 	471726 	434139 	414644 	405791 	415672 	386884 	355473 	: 
ADM,CRT_RESL,NR,UKC-L	: 	429707 	405220 	794111 	932544 	743505 	773530 	712208 	650852 	570890 
ADM,CRT_RESL,NR,UKN	7511 	: 	7399 	7743 	7636 	8784 	8996 	10822 	10373 	9327 
ADM,CRT_RESL,NR,XK	2268 	2404 	959 	1130 	1107 	1405 	1194 	1008 	1326 	2308 
ADM,CRT_RESL,P_HTHAB,AL	310.58 	637.55 	619.82 	650.98 	: 	: 	: 	: 	: 	: 
ADM,CRT_RESL,P_HTHAB,BA	: 	: 	: 	: 	: 	302.04 	300.40 	231.42 	204.37 	100.13 
ADM,CRT_RESL,P_HTHAB,BG	417.72 	365.08 	363.72 	344.41 	394.36 	361.15 	382.28 	: 	: 	: 
ADM,CRT_RESL,P_HTHAB,CH	: 	: 	: 	: 	: 	320.68 	: 	271.42 	: 	202.00 
ADM,CRT_RESL,P_HTHAB,CZ	95.60 	91.31 	79.97 	78.49 	83.57 	83.35 	59.52 	: 	: 	: 
ADM,CRT_RESL,P_HTHAB,DE	246.51 	199.77 	181.40 	159.35 	181.66 	166.10 	154.83 	152.07 	155.37 	166.58 
ADM,CRT_RESL,P_HTHAB,EE	225.52 	237.32 	267.94 	260.07 	203.53 	227.36 	237.88 	243.23 	203.86 	182.08 
